Site Code,Site Name,Zone,SH,Format,Sub Format, Inventory Hygiene Score ,Shrink YTD,Dry Dump,Wet Dump,   Stock corrections (2997),       Zero sales of last 90 days,DOH,   Refund %,   MD sales,Duplicate Bill,High Value Transactions,Auditor,MOPR Rating,RAG,LATITUDE,LONGITUDE
TXIZ,MB HUB -GURGAON,North,NCR + HR,Other Format,Milk Basket Hub,GREEN,GREEN,GREEN,GREEN,RED,GREEN,GREEN,NA,NA,NA,NA,Rahul Rajput,80.18%,,28.3877,76.987
TXJB,MB HUB -Bengaluru,South,Karnataka,Other Format,Milk Basket Hub,AMBER,GREEN,GREEN,GREEN,GREEN,GREEN,GREEN,NA,NA,NA,NA,0,84.82%,,13.07222,77.21486
